1000022,239,0.847
1000022,696,0.019
1000022,1311,1
1000022,2152,0.197
1000022,2924,0.86
1000022,3058,1
1000022,4376,1.935
1000022,4451,2.807
1000022,4609,1
1000022,5410,0.838
1000022,6037,1
1000022,14319,1
1000022,15588,0.861
1000022,15589,2.953
1000022,16207,1.526
1000022,17190,0.991
1000022,191110,0.042
1000022,193590,2
1000022,203355,0.401
1000022,212859,1.496
1000022,213321,1
1000022,213493,0.993
1000022,213494,0.838
1000022,213826,1
1000022,214724,0.467
1000022,217824,0.997
1000022,218201,1
1000022,220566,0.883
1000022,220568,2.567
1000022,221687,1.424
1000022,222885,1
1000022,224171,0.867
1000022,227482,1
1000022,230311,0.999
1000022,231587,0.226
1000022,232122,1
1000022,232404,0.851
1000022,232476,0.838
1000022,232767,2.864
1000022,232803,1.585
1000022,233577,1
1000022,235176,2.203
1000022,235528,1.477
1000022,236268,0.868
1000022,236623,2.322
1000022,238469,1
1000022,238474,1
1000022,239463,0.837
1000022,239682,1.896
1000022,239968,0.99
1000022,240155,0.837
1000022,242326,3
1000022,242590,1.783
1000022,242803,0.868
1000022,243571,0.864
1000022,245265,0.892
1000022,245957,0.08
1000022,246477,2.585
1000022,247557,0.859
1000022,247725,0.837
1000022,247780,0.85
1000022,247860,1
1000022,248028,2.231
1000022,248164,0.891
1000022,249163,1
1000022,249293,1
1000022,249335,1.478
1000022,249655,1
1000022,250058,1
1000022,250609,0.999
1000022,252542,0.881
1000022,253246,0.837
1000022,254542,3.311
1000022,254787,0.537
1000022,255257,0.068
1000022,255404,3.085
1000022,255604,1
1000022,255935,0.86
1000022,256205,0.455
1000022,256333,1
1000022,256923,0.038
1000022,257026,2.45
1000022,257753,1
1000022,258626,1.933
1000022,258680,0.838
1000022,258797,1
1000022,258800,1.4
1000022,258817,1.966
1000022,259826,1
1000022,260152,1
1000022,260153,1
1000022,260174,1
1000022,260332,0.834
1000022,260334,0.015
1000022,261293,0.102
1000022,261495,0.066
1000022,261698,1
